player_id,goals,goal_assist,appearances,mins_played,yellow_card,red_card,total_sub_on,total_sub_off
135976.0,2.0,0.0,8.0,287.0,0.0,0.0,5.0,3.0
48260.0,2.0,0.0,24.0,1926.0,1.0,0.0,3.0,0.0
6773.0,2.0,1.0,19.0,1037.0,3.0,0.0,8.0,8.0
141189.0,2.0,0.0,6.0,441.0,0.0,0.0,2.0,1.0
161463.0,2.0,2.0,21.0,1262.0,0.0,0.0,7.0,12.0
137781.0,2.0,0.0,7.0,544.0,1.0,0.0,1.0,1.0
162019.0,2.0,1.0,26.0,2211.0,4.0,2.0,1.0,0.0
128766.0,2.0,6.0,32.0,2804.0,5.0,0.0,0.0,7.0
19506.0,2.0,2.0,19.0,802.0,4.0,0.0,11.0,2.0
135243.0,2.0,1.0,25.0,2084.0,3.0,0.0,2.0,1.0
160323.0,2.0,1.0,27.0,2363.0,6.0,0.0,0.0,1.0
179384.0,2.0,1.0,25.0,1803.0,1.0,1.0,3.0,8.0
42220.0,2.0,1.0,25.0,2072.0,4.0,0.0,3.0,1.0
160096.0,2.0,2.0,19.0,943.0,2.0,0.0,7.0,10.0
161996.0,2.0,0.0,8.0,409.0,0.0,0.0,3.0,4.0
93814.0,2.0,1.0,17.0,611.0,1.0,0.0,10.0,7.0
20341.0,2.0,0.0,24.0,2160.0,4.0,0.0,0.0,0.0
19592.0,2.0,0.0,21.0,1520.0,3.0,0.0,5.0,1.0
130671.0,2.0,0.0,19.0,1697.0,6.0,0.0,0.0,1.0
162532.0,2.0,0.0,15.0,1305.0,3.0,0.0,0.0,1.0
35800.0,2.0,1.0,28.0,2256.0,9.0,1.0,2.0,2.0
133749.0,2.0,0.0,19.0,1363.0,4.0,0.0,4.0,3.0
42727.0,2.0,1.0,14.0,859.0,2.0,0.0,5.0,4.0
35862.0,2.0,1.0,22.0,1870.0,6.0,0.0,1.0,2.0
47001.0,2.0,2.0,31.0,2716.0,5.0,0.0,0.0,2.0
129759.0,2.0,2.0,22.0,1624.0,5.0,0.0,5.0,0.0
175528.0,2.0,0.0,10.0,466.0,0.0,0.0,6.0,4.0
135169.0,2.0,1.0,13.0,598.0,0.0,0.0,8.0,3.0
42970.0,2.0,6.0,29.0,2610.0,9.0,0.0,0.0,0.0
160845.0,2.0,2.0,19.0,1498.0,0.0,0.0,1.0,6.0
20234.0,1.0,2.0,27.0,2418.0,4.0,0.0,0.0,1.0
163811.0,1.0,0.0,3.0,72.0,0.0,1.0,2.0,0.0
53036.0,1.0,5.0,26.0,2095.0,1.0,1.0,2.0,5.0
156959.0,1.0,0.0,14.0,1171.0,2.0,0.0,1.0,0.0
154433.0,1.0,1.0,16.0,226.0,0.0,0.0,15.0,1.0
30517.0,1.0,0.0,30.0,2698.0,3.0,0.0,0.0,1.0
13589.0,1.0,0.0,11.0,894.0,2.0,0.0,1.0,1.0
32114.0,1.0,1.0,21.0,996.0,4.0,0.0,11.0,5.0
23389.0,1.0,1.0,27.0,2294.0,3.0,1.0,1.0,1.0
160732.0,1.0,1.0,28.0,2216.0,7.0,0.0,2.0,7.0
180212.0,1.0,0.0,6.0,363.0,0.0,0.0,2.0,2.0
42971.0,1.0,2.0,14.0,400.0,1.0,0.0,9.0,5.0
154336.0,1.0,2.0,29.0,2466.0,4.0,0.0,1.0,5.0
135177.0,1.0,1.0,14.0,1103.0,5.0,0.0,1.0,2.0
22162.0,1.0,1.0,17.0,796.0,2.0,1.0,8.0,4.0
44032.0,1.0,0.0,12.0,715.0,0.0,0.0,3.0,3.0
10046.0,1.0,0.0,24.0,2030.0,6.0,1.0,0.0,1.0
19205.0,1.0,0.0,23.0,1503.0,7.0,0.0,6.0,4.0
160032.0,1.0,0.0,23.0,1819.0,5.0,0.0,3.0,1.0
159741.0,1.0,0.0,16.0,394.0,0.0,0.0,14.0,1.0
33468.0,1.0,0.0,17.0,1227.0,2.0,0.0,5.0,0.0
50119.0,1.0,1.0,15.0,821.0,0.0,0.0,7.0,1.0
160488.0,1.0,0.0,17.0,1447.0,1.0,0.0,2.0,1.0
129750.0,1.0,1.0,31.0,2756.0,5.0,0.0,0.0,2.0
10059.0,1.0,4.0,28.0,2063.0,2.0,0.0,7.0,2.0
135117.0,1.0,1.0,13.0,402.0,1.0,0.0,9.0,2.0
23153.0,1.0,2.0,16.0,509.0,1.0,0.0,13.0,3.0
30985.0,1.0,0.0,7.0,401.0,0.0,0.0,3.0,3.0
166468.0,1.0,0.0,15.0,1350.0,3.0,0.0,0.0,0.0
30667.0,1.0,2.0,26.0,2145.0,4.0,1.0,1.0,4.0
93960.0,1.0,1.0,19.0,864.0,0.0,0.0,11.0,2.0
163747.0,1.0,0.0,2.0,107.0,0.0,0.0,1.0,1.0
